comment,label,processed,processed_baku
Kapan ini ready nya fingerprint login ?,0,ini ready nya fingerprint login,ini nya login
Pernah jdi marketing lapangan,0,jdi marketing lapang,jdi lapang
Pake mybca asik ga perlu pakai token. Yg saya mau tanyakan bagaimana cara hapus daftar transfer no rekening?,1,pake mybca asik tidak pakai token saya tanya cara hapus daftar transfer no rekening,mybca tidak pakai yang mau bagaimana hapus daftar transfer rekening
"Kok ga bisa registrasi , pdhl smua sdh di isi",-1,tidak bisa registrasi smua sdh isi,tidak bisa registrasi smua di isi
"Lebih Baik & Puas menggunakan "" MyBCA "" ini .. 🥰👍",1,baik puas guna mybca,baik puas guna ini
aplikasi nya mantabb bagus,1,aplikasi nya mantabb bagus,aplikasi mantabb bagus
"Ngga masuk akal nih, masa idnya terblokir padahal sandinya udah benar",-1,tidak masuk akal masa idnya blokir sandi udah,tidak masuk akal masa blokir sandi benar
Aplikasi mohon dilengkapi ya bos,0,aplikasi mohon lengkap ya bos,aplikasi mohon lengkap bos
Rating aplikasi nya langsung berubah drastis semenjak direview bang David GadgetIn,0,rating aplikasi nya langsung ubah drastis semenjak direview bang david gadgetin,aplikasi langsung ubah drastis semenjak bang gadgetin
Knp nih Salah sekali masukin password langsung ke blokir bca id saya,-1,nih salah masukin password langsung blokir bca id,nih salah masukin langsung blokir id
"BCA luar biasa,,terimakasih BCA. Dengan inovasimu sangat membantu saya,,,",1,bca luar terimakasih bca inovasi bantu,luar terimakasih dengan inovasi bantu
Kok saya gak bisa registrasi,-1,saya tidak bisa registrasi,saya tidak bisa registrasi
login harus pke sms? bank lain gpke sms2an buat login tlg bgt,-1,login pke sms bank lain gpke sms an login tolong bgt,harus sms bank lain sms buat tolong
Kalau ditmbah fitur2 sperti yang di mobile bca tambah manta0,1,ditmbah fitur sperti di mobile bca manta,ditmbah sperti di bca manta
"Min, kok BCA ID saya keblokir ya? Aneh nya saya g' pernah memblokir BCA ID saya sendiri.",-1,min bca id blokir ya aneh nya tidak blokir bca id sendiri,min blokir aneh saya tidak blokir bca id saya sendiri
Top up Flazz di myBCA bisa ga? gabisa yaa senggol dong🙏🤭😁,0,top up flazz mybca bisa tidak tidak bisa yaa senggol,top flazz mybca bisa tidak tidak bisa senggol
Lebih fresh dan enak ini dari m-bca app,1,fresh enak dari m bca app,fresh enak dari bca
Mantap. Mudah dan aman,1,mantap mudah aman,mantap mudah aman
"SANGAT MENGECEWAKAN NGABISIN PULSA AJA , UDAH DIAKTIFASI MASIH AJA MINTA AKYIFASI, SAYA SARANKAN JGN DOWNLOED",-1,kecewa ngabisin pulsa aja udah diaktifasi aja akyifasi saran downloed,kecewa pulsa aja diaktifasi aja akyifasi saran downloed
Bca semakin mudah & semakin maju,1,bca mudah maju,mudah makin maju
Sangat mantap pkonya jooooos,1,mantap pkonya jooooos,mantap jooooos
Kereen Banget senang dari dulu pakai bank bca mantap selalu inovasi terus kereen 1 apliksi sinkron semua mantUlll superr Gtoo doank ini namanya BANK🥰🥰🥰🥰,1,kereen banget senang dulu pakai bank bca mantap inovasi kereen apliksi sinkron mantulll superr gtoo doank nama bank,banget senang dulu pakai bank mantap inovasi kereen sinkron mantulll gtoo ini nama bank
Keren. Selalu terdepan dalam melayani nasabah.,1,keren depan layan nasabah,keren depan layan nasabah
ngeribetin sudah buka deposito di my bca taunya akun terblokir terus tlp ke bca terus buang2 pulsa. ngeselin bgt,-1,ngeribetin buka deposito my bca tau akun blokir tlp bca buang pulsa ngeselin bgt,sudah buka deposito my tau akun blokir tlp bca buang pulsa bgt
"GAK BISA REGISTRASI, BUANG2 PULSA...",-1,tidak bisa registrasi buang pulsa,tidak bisa registrasi buang pulsa
Sangat membantu .. pertahankan,1,bantu tahan,bantu tahan
Nyaman sih dgn app ini,1,nyaman sih dgn app,nyaman sih app
Sudah punya id BCA tapi tidak bisa login ke akun my BCA,-1,punya id bca tidak bisa login akun my bca,punya bca tidak bisa ke akun bca
Pagi ka .. mau nanya BCA id itu nomor id yg mana ya,0,pagi ka nanya bca id nomor id mana ya,pagi mau bca itu nomor yang ya
Knp harus memakai pulsa gak tau LG penting,-1,harus pakai pulsa tidak tau lg,harus pakai pulsa tidak tau penting
Kenapa saya tdk bisa2 downlod my bca. Tlg bantu saya mks,0,tidak bisa downlod my bca tolong bantu saya mks,tidak bisa my tolong bantu saya mks
Habis pulsa kalo SMS terus 😂,-1,habis pulsa kalo sms,habis pulsa kalo terus
Ga jelas masa mw masuk aja harus sms dan pake pulsa ribet bgt jngn dwonlod ntr nyesel,-1,tidak jelas mw masuk aja sms pake pulsa ribet bgt dwonlod ntr nyesel,tidak jelas mw masuk aja sms pake pulsa bgt dwonlod nyesel
Cepet prosesnya tidak perlu SC tfn,1,cepet proses tidak sc tfn,proses tidak sc
Aplikasi ini sangat membantu bisnis online saya. 👍,1,aplikasi sangat bantu bisnis online,aplikasi sangat bantu bisnis saya
"Membingungkan, ga ngapa ngapain malah BCA ID terblokir",-1,bingung tidak ngapa ngapain bca id blokir,bingung tidak ngapain bca blokir
Praktis dan aman..,1,praktis aman,praktis aman
Download ini gara² ads by Daniel Mananta menarik 😁,0,download gara ads by daniel mananta tarik,ini ads daniel tarik
Ini aplikasi paling bagus,1,aplikasi bagus,aplikasi bagus
"Ribet & Lama, sudah cukup menjelaskan",-1,ribet lama cukup jelas,lama cukup jelas
"Bingung deh mau ngomong apa, sesuai bintang aja..",0,bingung deh ngomong sesuai bintang aja,bingung deh ngomong sesuai bintang aja
Lebih lengkapi lagi Permudah,1,lengkap mudah,lengkap mudah
Aplikasi kereen banget.....😀👍,1,aplikasi kereen banget,aplikasi banget
Perbedaannya aplikasi ini dengan BCA Mobile apa ya ?,0,beda aplikasi dengan bca mobile ya,beda aplikasi dengan mobile ya
Buang buang pulsa verifikasi trs masuk kga pulsa kepotong iya,-1,buang buang pulsa verifikasi trs masuk kga pulsa potong iya,buang buang pulsa verifikasi masuk pulsa potong iya
Bikin pusing padlan paspor gk slah malah bacaan slah trs,-1,bikin pusing padlan paspor tidak slah baca slah trs,bikin pusing paspor tidak slah baca slah
Aplikasi Sangat membantu 🙏🙏,1,aplikasi bantu,aplikasi bantu
Ko kartu ATM saya selalu di bilang nomer salah mulu ya,-1,ko kartu atm selalu bilang nomer salah mulu ya,kartu saya di bilang salah ya
"Diminta update,,susah bgt masuk nya",-1,update susah bgt masuk nya,update susah masuk
"TERLALU BUSUK APLIKASI NYA, LEBIH BAIK PAKE M-BCA",-1,busuk aplikasi nya baik pake m bca,busuk aplikasi lebih baik m
Sarannya tambah fingerprint.,1,saran fingerprint,saran fingerprint
"APLIKASI PALING JELEK,MENGAKTIFKAN SAMPAI BERHARI HARI SAMPAI SEKARANG TIDAK AKTIF2.NGAKU NYA SUDAH ME HUBUNGI SAYA LOGIKA NYA DI MANA TIDAK DI ANGKAT.GIMANA BISA TERHUBUNG KALAU CARA BCA MENGHUBUNGI CUMAN PENCET NO SAYA BEGITU TERSAMBUNG LANGSUNG DI OFF ITU NAMA NYA FORMALITAS CARI PEMBENARAN SEOLAH2 MENGHUBUNGI SEBENAR NYA TIDAK MENGHUBUNGI PENCET NO TERHUBUNG LANGSUNG DI OFF YA JELAS ADA LAPORAN SUDAH MENGHUBUNGI DI TELPON NYA,ITU SAMA SAJA PEMBOHONG AKAL2AN SUPAYA DI ANGGAP KERJA",-1,aplikasi jelek aktif hari sampai tidak aktif ngaku nya me hubung logika nya mana tidak angkat gimana bisa hubung cara bca hubung cuman pencet no begitu sambung langsung off nama nya formalitas cari olah hubung nya tidak hubung pencet no hubung langsung off ya jelas lapor hubung telpon nya sama bohong akal an di anggap kerja,aplikasi jelek aktif hari sampai tidak aktif me hubung logika tidak angkat bisa hubung cara hubung cuman pencet saya sambung langsung off nama formalitas cari olah hubung nya tidak hubung pencet hubung langsung off jelas lapor hubung telpon nya itu saja bohong akal supaya di anggap kerja
Cara ganti nomor hp di bca id nya gmn ya? Karna nomor yg sdh terdaftar hilang 🙏🏾,-1,ganti nomor hp bca id nya gmn ya nomor sdh daftar hilang,ganti nomor di id gmn karena nomor sdh daftar hilang
Untuk menggunaka BI Fash pake aplikasi mana,0,menggunaka bi fash pake aplikasi,menggunaka fash aplikasi
Payah ga bisa buka pakai sidik jari,-1,payah tidak bisa buka pakai sidik jari,payah tidak bisa buka pakai sidik jari
Masih gak bisa Registrasi Akun sya,-1,tidak bisa registrasi akun sya,tidak bisa registrasi akun
Sangat membantu dalam proses finansial pribadi saya,1,bantu proses finansial pribadi,bantu proses finansial pribadi
Sangat Membantu Usaha Saya,1,bantu usaha,bantu usaha
Kenapa saya tidak bisa masuk kr my bca saya,-1,tidak bisa masuk kr my bca saya,saya tidak bisa masuk my saya
Mohon Update Fitur Print Agar bsaa Buat Trnsksi Perbankan...,1,mohon update fitur print bsaa trnsksi perban,mohon fitur agar buat perban
mantap sangat berguna,1,mantap guna,mantap guna
kaya mandiri livin donk ga ribet sing penting punya rekening ...wisss,-1,kaya mandiri livin donk tidak ribet sing punya rekening wisss,kaya mandiri donk tidak sing punya rekening
"Ribet, mau login harus kirim sms 😂",-1,ribet login kirim sms,mau harus kirim
Setiap ganti password harus hubungi bca,-1,ganti password hubung bca,ganti harus hubung
Ga bisa di upgrade,-1,tidak bisa upgrade,tidak bisa upgrade
Sering eror ketika masuk,-1,error masuk,error masuk
Kenapa ini saya ga bisa aktivasi?,-1,ini tidak bisa aktivasi,ini tidak bisa
Bca id tidak tersedia terus :),-1,bca id tidak sedia,id tidak sedia
Kenapa tidak di jadikan satu aplikasi saja ?,-1,tidak jadi aplikasi,tidak jadi aplikasi
Top keren mantaf.,1,top keren mantaf,top keren
"Bru msukin pin 1x tau"" terblokir padahal pin udah benar tp lngsung trblokir Suruh ngurus ke bank lagi g bkin mudah mlah nyusahi",-1,bru msukin pin x tau blokir pin udah tp lngsung trblokir suruh ngurus bank tidak bkin mudah mlah nyusahi,msukin pin tau blokir pin benar lngsung suruh ke bank tidak mudah nyusahi
Sayang sekali belum ada fitur MhCommerce spt di Mobile BCA 😔,-1,sayang belum fitur mhcommerce spt mobile bca,sayang belum fitur spt mobile
Aplikasinya cuman buang2 pulsa doang,-1,aplikasi cuman buang pulsa doang,aplikasi cuman buang pulsa doang
Tiap masukin nomor kartu atm gagal terus,-1,masukin nomor kartu atm gagal,masukin nomor kartu gagal
Butuh waktu 3 hari untuk verifikasi,-1,butuh hari verifikasi,butuh hari verifikasi
Fitur masib minim banget,-1,fitur masib minim banget,masib minim banget
Ini knpa eror saat di butuh kan,-1,kenapa error di butuh,kenapa saat butuh
Rekening RDN tidak masuk aplikasi ini ya..,-1,rekening rdn tidak masuk aplikasi ya,rekening tidak masuk aplikasi ya
Ok mantap aplikasinya!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,ok mantap aplikasi,mantap aplikasi
Login susah asuuu sampai pulsa guwa hbs. . . Perbaiki lah. . .,-1,login susah asuuu pulsa guwa hbs baik,susah sampai pulsa hbs baik
Baik dan cepat,1,baik cepat,baik cepat
Memudahkan dan bermanfaat,1,mudah manfaat,mudah manfaat
Min tambahkan Fitur TOPUP NFC buat E-MONEY dong,1,min fitur topup nfc e money,min fitur nfc e dong
Aplikasi nya bagus banget,1,aplikasi nya bagus banget,aplikasi bagus banget
Apakah bisa daftar mybca tanpa kartu BCA?,0,bisa daftar mybca kartu bca,bisa daftar tanpa kartu
Jelek. gampang ke blokir. bagusan BCA Mobile,-1,jelek gampang blokir bagus bca mobile,jelek gampang blokir bagus mobile
"Ribet bgt, sudah reg selesai trus d suruh verifikasi hallo BCA, menghubungi hallo BCA sibuk trus pulsa Sampe habis",-1,ribet bgt reg selesai trus d suruh verifikasi hallo bca hubung hallo bca sibuk trus pulsa sampe habis,bgt reg selesai d suruh verifikasi bca hubung bca sibuk pulsa habis
Sepertinya mudah,1,mudah,mudah
Sangat membantu sekali,1,bantu,bantu
Sangat membantu transaksi keuangan saya,1,bantu transaksi uang,bantu transaksi uang
Aplikasi ini sangat membantu sekali,1,aplikasi sangat bantu,aplikasi sangat bantu
Mengecewakan.....ribettttttt kali mau registrasi aja bintang 1 udah topppp,-1,kecewa ribettttttt kali registrasi aja bintang udah topppp,kecewa kali registrasi aja bintang topppp
"Membantu sekali,sukses utk BCA.Mantap",1,bantu sukses utk bca mantap,bantu sukses bca mantap
Mempermudah hubungan bisnis.,1,mudah hubung bisnis,mudah hubung bisnis
Belum bisa cashless di ATM,-1,bisa cashless atm,bisa di
Ribet banget sih daftarnya,-1,ribet banget sih daftar,banget sih daftar
email tidak terdaftar saat buat akun??,-1,email tidak daftar buat akun,email tidak daftar buat akun
Kok gak bisa dibuka terus?,-1,tidak bisa buka,tidak bisa buka
"Aku saya kok gak bisa di login,Tolong solusinya",0,saya tidak bisa login tolong solusi,saya tidak bisa login tolong solusi
Sangat membantu adanya Mybca,1,bantu mybca,bantu mybca
"My BCA Terhormat mau tanya, Apk Paypal apa bisa menerima transfer dana ke Rekening BCA, 🙏🙏",0,my bca hormat tanya apk paypal bisa terima transfer dana rekening bca,hormat tanya paypal bisa terima transfer dana rekening bca
Semoga kedepannya bisa scan QRIS,1,moga bisa scan qris,moga bisa qris
Cepat anti lemot,1,cepat anti lot,cepat anti lot
Sy baru dowlond mana tau bisa langsung daftar pinjaman,0,sy baru dowlond tau bisa langsung daftar pinjam,baru mana tau bisa langsung daftar pinjam
Sangat membantu sekali,1,bantu,bantu
"Sangat membantu,,,",1,bantu,bantu
"Tingktkn keamanan,thanks",1,tingktkn aman terimakasih,aman
"Mantap,simpel n ga ribet....",1,mantap simpel n tidak ribet,mantap simpel tidak
Verifikasi diri harus melalui telpon langsung ke halo bca,-1,verifikasi harus telpon langsung halo bca,verifikasi harus telpon langsung halo
Saran saya tambahkan beberapa fitur lagi,1,saran tambah fitur,saran tambah fitur
Belum ada terhubung kartu kredit BCA,-1,ada hubung kartu kredit bca,ada hubung kartu kredit
Klo BCA tabunganku bisa tdk pakai aplikasi ini,0,klo bca tabung bisa tidak pakai aplikasi,bca tabung bisa tidak pakai aplikasi
Sangat memudahkan... Bravo BCA,1,mudah bravo bca,mudah bca
Sangat TIDAK MEMBANTU,-1,tidak bantu,tidak bantu
Buat beli pulsa ngga ada ya,-1,beli pulsa tidak ya,beli pulsa tidak ya
SUMPAH.... SEBESAR BCA APLIKASINYA KYK ABAL2. DIKIT2 BLOKIR. PDHL SEMUA SDH BENAR. HRS BELAJAR SM BANK MANDIRI. SIMPLE DAN GK RIBET. INI DIKIT2 BLOKIR DAN HRS BER-ULANG2 TELP KE HALO BCA. AUTO TUTUP BCA DAN UNINSTALL. BIKIN RIBET !!!! MENDING PAKAI MANDIRI AJA,-1,sumpah bca aplikasi kyk abal dikit blokir semua sdh hrs ajar sm bank mandiri simple tidak ribet dikit blokir hrs ber ulang telp halo bca auto tutup bca uninstall bikin ribet mending pakai mandiri aja,sumpah aplikasi abal dikit blokir semua benar ajar bank mandiri tidak ini dikit blokir dan hrs ulang ke halo auto tutup bca dan bikin mending pakai mandiri aja
QR nya kapan bisa :(,-1,qr nya bisa,nya bisa
Aplikasi aneh.. g seperti yg lainnya,1,aplikasi aneh tidak yang lain,aplikasi aneh tidak yang lain
Makin bikin sulit pelanggan saja,-1,bikin sulit langgan,bikin sulit langgan
Sangat mengecewakan,-1,kecewa,kecewa
Mana Login FINGERPRINT nyaaaaaaaa???? Bank BUMN dah ada semua loh.,-1,login fingerprint nyaaaaaaaa bank bumn dah semua loh,login nyaaaaaaaa bank dah semua loh
Knp susah sekali verifikasinya,-1,susah verifikasi,susah verifikasi
Aplikasi yang bagus sekali 👍👍,1,aplikasi bagus,aplikasi bagus
Bagus luar biasa....👍,1,bagus luar,bagus luar
"Gila sekali log in 7800, sekalian aja 10000. Tolong di gratiskan yah",-1,gila log in aja tolong gratis yah,gila log sekali aja tolong gratis
Apa bisa pake 2 aplikasi dalam 1 hp BCA mobile dan my BCA,0,bisa pake aplikasi hp bca mobile my bca,bisa aplikasi hp mobile my
Apa bisa buat tranferan bos,0,bisa tranferan bos,bisa tranferan bos
Sering terblokir tanpa alasan yang jelas,-1,blokir alas jelas,blokir alas jelas
Cpt.mudah dan lengkap.,1,cpt mudah lengkap,mudah lengkap
Pokok nya keren dah,1,pokok nya keren dah,pokok keren dah
Tingkatkan terus,1,tingkat,tingkat
Begitu mudahnya dgn mybca,1,mudah dgn mybca,mudah mybca
pasti yang bikin anak magang :v,-1,yang bikin anak magang v,yang bikin anak magang
Belum coba sudah saya rating 5. Semoga aja dapat membantu,1,coba saya rating moga aja bantu,coba saya moga aja bantu
Kita bisa akses seluruh rekening kita di BCA via aplikasi myBCA,1,bisa akses rekening di bca via aplikasi mybca,bisa akses rekening di via aplikasi
APLIKASI MASIH BETA KO UDAH DILAUNCHING,-1,aplikasi beta ko udah dilaunching,aplikasi beta udah
"Kita coba dulu ya,mana tau ok kita tambah lgi bintang nya.",0,coba ya tau ok tambah lgi bintang nya,coba ya tau kita lgi bintang
terburuk sepanjang masa menggunakan mbanking,-1,buruk masa guna mbanking,buruk masa guna
Kenapa BCA id saya terblokir saya ga pernah ngapa ngapain ?,-1,bca id blokir tidak ngapa ngapain,bca blokir saya tidak ngapa ngapain
Verifikasi ribet lama,-1,verifikasi ribet lama,verifikasi lama
tiap login minta sms terus,-1,login sms,login sms
Apa bisa dipergunakan dari tabungan bisnis?,0,bisa guna tabung bisnis,bisa guna tabung bisnis
"Sudah berhasil, thanks HaloBCA. Gbu.",1,hasil terimakasih halobca gbu,hasil halobca
Masih banyak kekurangan,-1,banyak,banyak
Tinggal disempurnakan lagi. Apa yang bisa dilakukan transaksi di Mobile Banking atau Internet Banking juga bisa dilakukan di My BCA,1,tinggal sempurna apa bisa laku transaksi mobile banking internet banking bisa laku my bca,tinggal sempurna apa bisa laku transaksi mobile atau banking bisa laku my
Penyempurna BCA Digital 💙,1,sempurna bca digital,sempurna digital
Susah login muter2 trs,-1,susah login muter trs,susah muter
"APLIKASI HARAM,YANG ADA HABISIN PULSA DOANG GAK ABIS PIKIR SAMA MYBCA BINATANG",-1,aplikasi haram ada habisin pulsa doang tidak abis pikir mybca binatang,aplikasi haram ada pulsa doang tidak abis pikir mybca binatang
Memudahkan,1,mudah,mudah
Transksi lebih mudh,1,transksi mudh,lebih
Apakah BCA SYARIAH bisa pakai aplikasi ini ?,0,bca syariah bisa pakai aplikasi,bca bisa pakai aplikasi
Aplikasi serba wow...,1,aplikasi serba wow,aplikasi serba
Apk ini woww Benar Benar Bermanfaat 👍,1,apk woww benar manfaat,ini benar manfaat
Semoga dipermudah prosesnya,1,moga mudah proses,moga mudah proses
Baru login terblokir.. lucunya,-1,baru login blokir lucu,baru blokir lucu
"Mantap, maju terus bca",1,mantap maju bca,mantap maju bca
Alhamdulillah Sangat membanty,1,alhamdulillah membanty,alhamdulillah membanty
Ayo lengkapin lagi fiturnya,1,ayo lengkapin fiturnya,ayo lagi
Bagus neh aplikasi..,1,bagus neh aplikasi,bagus aplikasi
Lengkap pokoknya.,1,lengkap pokok,lengkap pokok
Sangat menyenangkan,1,senang,senang
semoga engga errorblocir lg.. aamiin,0,moga engga errorblocir lg aamiin,moga errorblocir aamiin
Ok banget n lengkap...,1,ok banget n lengkap,banget lengkap
Sangat membantu,1,bantu,bantu
Cepat & aman,1,cepat aman,cepat aman
Lebih mudah daripada m-banking,1,mudah m banking,mudah m
Sumpah keren MyBca.. jadi bangga bisa jadi nasabah BCA 😘🤩,1,sumpah keren mybca bangga bisa nasabah bca,sumpah keren bangga bisa jadi nasabah
Cek sistem bug,-1,cek sistem bug,cek sistem
Apa download.nya harus pake wifi,0,download nya pake wifi,download harus wifi
Tampilan lebih segar,1,tampil segar,tampil segar
Sangat membatu sekali,1,batu,batu
Tolong tambahkan pembelian pls dll,1,tolong beli pls dll,tolong beli dll
Akhirnya bisa bi fast,1,bisa bi fast,bisa fast
Trimakasi sudah membantu untuk transaksik menabung ke BCA,1,trimakasi bantu transaksik tabung bca,sudah bantu transaksik tabung bca
Sangat sangat membantu,1,sangat bantu,sangat bantu
PAYAH.. LOGIN PASSWORD & USERID SUDAH BENAR MALAH DIKATA SALAH & ENDINGNYA KEBLOCK... MENDING FOCUSKAN KE APLIKASI LAMA AJA BUAT PENYEMPURNAAN TIMBANG TAMBAH APLIKASI MALAH BUSUK KESANNYA TIDAK KONSISTEN TERHADAP LAYANAN,-1,payah login password userid benar kata salah endingnya keblock mending focuskan aplikasi lama aja sempurna timbang aplikasi busuk kesan tidak konsisten hadap layan,payah password sudah salah keblock mending ke aplikasi lama aja sempurna timbang aplikasi malah busuk kesan tidak konsisten hadap layan
Sangat sangat membantu aktivitas saya...,1,sangat bantu aktivitas,sangat bantu aktivitas
Cukup bagus m bca,1,bagus m bca,bagus bca
Perbaiki tuh id tiba2 terblokir sialan amat apk cacat ngabisin pulsa aja ajim,-1,baik tuh id blokir sial apk cacat ngabisin pulsa aja ajim,baik id blokir sial apk cacat pulsa aja
Sangat bermanfaat,1,manfaat,manfaat
Kaga Jelas udah Buang2 Pulsa Masih ja Gak Bisa2,-1,kaga jelas udah buang pulsa ja tidak bisa,jelas buang pulsa ja tidak bisa
BCA tidak pernah berhenti berinovasi,1,bca tidak henti inovasi,tidak henti inovasi
Susah banget dowlodnya,-1,susah banget dowlodnya,susah banget
Susah verifikasinya,-1,susah verifikasi,susah verifikasi
Sangat membantu,1,bantu,bantu
Semoga apkasinya gk mengecewakannn,0,moga apkasinya tidak mengecewakannn,moga tidak
Mantap .cepat & aman,1,mantap cepat aman,mantap cepat aman
Tidak bisa masuk,-1,tidak bisa masuk,tidak bisa masuk
Bagus sekali,1,bagus,bagus
Sulit msk aplikasi,-1,sulit msk aplikasi,sulit aplikasi
Kasi bintang 5,1,kasi bintang,kasi bintang
"Semoga lancar myBCA saya,Amien@",0,moga lancar mybca amien,moga lancar saya
BUKA REKENING MAHAL AMAT!,-1,buka rekening mahal,buka rekening mahal
semoga bisa membantu aku,0,moga bisa bantu,moga bisa bantu
Tolong di bantu,0,tolong bantu,tolong bantu
Bagus sekali,1,bagus,bagus
Di tunggu update nya ..,1,tunggu update nya,tunggu nya
Pelayan bca memuaskan,1,layan bca muas,layan muas
Hari ini error. Ga bisa trf.,-1,ini error tidak bisa trf,ini tidak bisa
Mantaf bisa transaksi lumayan,1,mantaf bisa transaksi lumayan,bisa transaksi lumayan
Best sanggat membantu,1,best sanggat bantu,sanggat bantu
Kblokir trus cape baru sekali masukin sandi langsung kblokir,-1,kblokir trus cape baru masukin sandi langsung kblokir,trus cape baru masukin sandi langsung
Membantu bngt krn punya 2 rek.... Aman2 aja,1,bantu bngt punya rek aman aja,bantu karena rek aman aja
Luar biasa....1 aplikasi untuk semua rekening🤩👍love you BCA🥰🤩,1,luar aplikasi semua rekening love you bca,luar aplikasi semua rekening you
Mantul tapi lemot,1,mantul lot,tapi lot
"Saya baru mau daftar, ko di minta no ATM bosss ?",-1,baru daftar ko minta no atm bosss,baru daftar di no bosss
Baik² selalu membantu,1,baik bantu,baik bantu
Tiba-tiba ID di blokir.!,-1,tiba id blokir,tiba di blokir
Sangat membantu,1,bantu,bantu
"Ribet, ruwet, mbulet, bikin males..dan akhirnya uninstal",-1,ribet ruwet mbulet bikin males akhir uninstal,ruwet bikin dan uninstal
Masih banyak kekurangan,-1,banyak,banyak
Applikasi luar biasa mantapp,1,applikasi luar mantapp,luar mantapp
BCA memang selalu number one 😊👍👍👍,1,bca selalu number one,memang number
Kapan updatenya ini?,0,updatenya,updatenya
Mantap bagus saya suka,1,mantap bagus suka,mantap bagus suka
Tranfer antar bank jadi lebih murah cuma 2500k,1,tranfer bank lebih murah k,antar bank lebih murah k
Min verifikasi sms gagal terus padahal mbca aman,-1,min verifikasi sms gagal padahal mbca aman,min verifikasi gagal padahal aman
"buang buang pulsa, akhirnya malah suruh telp halo BCA",-1,buang buang pulsa malah suruh telp halo bca,buang buang pulsa malah suruh halo
Banyak fitur nya.,1,fitur nya,fitur
Sangat bermanfaat.,1,manfaat,manfaat
Leren. Sangat membantu,1,leren bantu,sangat bantu
Klo bagus aq tambahin bintang nya,0,klo bagus aq tambahin bintang nya,bagus tambahin bintang
Lebih mudah cpt,1,mudah cpt,mudah
Sangat bermanfaat,1,manfaat,manfaat
Mudah mengerti,1,mudah erti,mudah erti
sama2 apk gajelas bank asia ini mbanking tf aja gabisa,-1,apk gajelas bank asia mbanking tf aja tidak bisa,apk bank ini tf aja tidak bisa
Bagaimana cara menambahkan lebih dari satu nomor rekening??,0,cara lebih satu nomor rekening,cara lebih satu nomor rekening
Bank terbaik di Indonesia,1,bank baik indonesia,bank baik indonesia
Sangat membantu.,1,bantu,bantu
Di tunggu update nya,1,tunggu update nya,tunggu nya
"Cek nomor kartu atm terus, padahal no kartu sdh benad",-1,cek nomor kartu atm padahal no kartu sdh benad,cek nomor kartu terus no kartu benad
Abis di upgrade malah gajelas nlpn bca ampe pegel mulut,-1,abis upgrade gajelas nlpn bca ampe gel mulut,abis upgrade gajelas bca ampe gel mulut
Sangat Membantu,1,bantu,bantu
Sangat membantu,1,bantu,bantu
Super Lengkap App dari BCA,1,super lengkap app bca,super lengkap dari
Di mybca saya kok ga ada pilihan BI fast ya?,-1,mybca kok tidak pilih bi fast ya,mybca kok tidak pilih fast
Ga bisa login,-1,tidak bisa login,tidak bisa
semoga fitur yang ada di BCA mobile diadaptasi di myBCA,0,moga fitur ada bca mobile adaptasi mybca,moga yang mobile adaptasi di mybca
"Mantap saya jadi punya pengganti m-banking direkening saya yang Satunya,,, Terimakasih BCA 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",1,mantap jadi ganti m banking rekening yang terimakasih bca,mantap jadi ganti banking rekening yang terimakasih
Isi'nya...SMS Melulu...,-1,isi nya sms melulu,isi sms melulu
Mantap lah pokoknya,1,mantap pokok,mantap pokok
verifikasi lama bangey telfon ke halo bca,-1,verifikasi lama bangey telfon halo bca,verifikasi lama telfon halo
sangat membantu,1,bantu,bantu
Sangat membantu,1,bantu,bantu
Sangat membantu,1,bantu,bantu
Sangat membantu,1,bantu,bantu
Sangat membantu,1,bantu,bantu
Mantap aplikasi nya,1,mantap aplikasi nya,mantap aplikasi
Sangat membantu,1,bantu,bantu
👍👍👍....semuanya. OK. ..berpungsi normal,1,ok pungsi normal,ok pungsi normal
Sangat bermanfaat,1,manfaat,manfaat
ngabisin pulsa aja bisanya,-1,ngabisin pulsa aja bisa,pulsa aja bisa
sangat membantu,1,bantu,bantu
Sejauh ini mantap BCA partner terterterter keren pokoknya,1,ini mantap bca partner terterterter keren pokok,ini mantap partner keren pokok
Bca banking sangat membantu usaha bisnis....,1,bca banking bantu usaha bisnis,banking bantu usaha bisnis
Sangat membantu,1,bantu,bantu
Untuk bayaran anak kamiya aku minta tolong dg siapa ya,0,bayar anak kamiya minta tolong dg ya,bayar anak aku tolong siapa
Untuk perluan saya My BCA Terbaik keren 😀😀,1,perlu my bca baik keren,perlu my baik keren
Daftar ko malah diblokir kacau,-1,daftar ko blokir kacau,daftar malah blokir kacau
Sangat berguna👍👍👍🙏,1,guna,guna
Aman dan nyaman,1,aman nyaman,aman nyaman
"Ribet, banyak verifikasi :<",-1,ribet verifikasi,banyak verifikasi
Sangat membantu,1,bantu,bantu
Sangat membantu,1,bantu,bantu
Sangat memuaskan,1,muas,muas
Sangat membantu,1,bantu,bantu
Sangat membantu👍,1,bantu,bantu
Sangat membantu,1,bantu,bantu
